512	133																																																																																																																																				
ID 	HK/1/1968 	HK/107/1971 	BI/21793/1972 	EN/42/1972 	PC/1/1973 	BI/5930/1974 	SL/840/1974 	VI/3A/1975 	VI/3C/1975 	AM/1609/1977 	TE/1A/1977 	TE/1B/1977 	BI/2461/1978 	BA/1/1979 	BA/2/1979 	EN/496/1980 	NL/209/1980 	RD/577/1980 	SH/31/1980 	NL/233/1982 	NL/241/1982 	PH/2/1982 	PH/2V/1982 	CE/1A/1984 	CE/1B/1984 	CC/4/1985 	NL/330/1985 	NL/333/1985 	ST/10/1985 	WE/4/1985 	CO/2/1986 	LE/360/1986 	SH/11/1987 	SI/2/1987 	VI/7/1987 	NL/450/1988 	BE/353/1989 	GU/54/1989 	NL/620/1989 	HK/34/1990 	VI/2/1990 	LY/1149/1991 	BE/32A/1992 	BE/32V/1992 	BE/32B/1992 	GD/25/1993 	MA/G252/1993 	OS/2352/1993 	SD/9/1993 	JO/33/1994 	NL/18/1994 	PR/413/1994 	FI/338/1995 	GE/A9509/1995 	LY/2279/1995 	NA/933/1995 	NL/1/1995 	NL/47/1995 	NL/218/1995 	WU/359B/1995 	BR/8/1996 	NL/172/1996 	SP/1/1996 	AU/10/1997 	NL/286/1997 	SY/5A/1997 	SY/5B/1997 	SY/5HAY/1997 	SY/5V/1997 	NL/5/1998 	MW/10/1999 	PM/2007/1999 	FUJIAN/140/2000 	NL/118/2001 	NL/124/2001 	NL/126/2001 	NEW-YORK/55/2001 	FU/411/2002 	NL/1/2002 	KOREA/770-LOT-2003-30/2002 	BRISBANE/6/2002 	HONG-KONG/1550/2002 	KUMAMOTO/102/2002 	PHILIPPINES/472/2002 	NL/22/2003 	NL/88/2003 	TEXAS/40-LOT-2004-029/2003 	HONG-KONG/1186-LOT-2003-100/2003 	SHANGHAI/369-LOT-2003-88/2003 	SOFIA/141-LOT-2003-99-NEW/2003 	AUCKLAND/6/2003 	CHRISTCHURCH/28/2003 	WYOMING/3/2003 	CALIFORNIA/7-LOT-2005-025/2004 	TEXAS/6-LOT-2005-008/2004 	TENNESSEE/6-LOT-2005-013/2004 	NORTH-DAKOTA/1-LOT-2005-021/2004 	NEPAL/1646-LOT-2005-009/2004 	HONG-KONG/2874-LOT-2005-010/2004 	CALIFORNIA/7/2004 	MALAYSIA/1/2004 	SINGAPORE/37/2004 	VICTORIA/110/2004 	VICTORIA/500/2004 	VICTORIA/513/2004 	WELLINGTON/1/2004 	AOMORI/43/2004 	HIROSHIMA/39/2004 	OSAKA/56/2004 	BRAZIL/1742-LOT-2006-016/2005 	HONG-KONG/2831-LOT-2005-087/2005 	BRISBANE/3/2005 	MALAYSIA/753/2005 	VICTORIA/512/2005 	ANHUI/1239/2005 	GUNMA/16-NO-2/2005 	HIROSHIMA/52-NO-2/2005 	OKINAWA/22-NO-2/2005 	WISCONSIN/67/2005 	KENTUCKY/3-LOT-2006-136/2006 	UKRAINE/13-LOT-2006-134/2006 	CANADA/1212-LOT/2006 	FLORIDA/2-LOT-2007-033/2006 	HONG-KONG/218-LOT/2006 	SANTIAGO/7981-LOT-2007-031/2006 	BRISBANE/9/2006 	VICTORIA/503/2006 	HIROSHIMA/33-NO-2/2006 	SENDAI/F131-NO-2/2006 	HAWAII/8-LOT-2007-070/2007 	WISCONSIN/3-LOT-2007-089-AND-2007-090-POOL/2007 	JAPAN/7288-LOT-2007-097/2007 	THAILAND/31/2007 
TAK/185/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	160	640	0	0	0	0	160	2560	0	2560	0	0	0	640	0	0	0	0	2560	1280	0	0	2560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRISBANE/106/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<40 	<40 	0	0	0	0	<40 	40	0	0	0	0	40	<40 	0	0	0	0	0	0	<20 	0	<40 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRISBANE/268/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	160	0	0	0	0	80	320	0	0	0	0	640	0	0	0	0	0	0	0	0	320	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRISBANE/327/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	<40 	0	0	0	0	80	320	0	0	0	0	320	80	0	0	0	0	0	0	0	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRISBANE/340/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	160	0	0	0	0	80	1280	0	0	0	0	1280	320	0	0	0	0	0	0	0	640	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRISBANE/342/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	0	0	0	0	80	160	0	0	0	0	320	80	0	0	0	0	0	0	0	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRISBANE/72/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	160	0	0	0	0	80	800	0	0	0	0	960	120	0	0	0	0	0	0	0	320	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRISBANE/86/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<40 	<40 	0	0	0	0	40	80	0	0	0	0	80	40	0	0	0	0	0	0	<20 	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRISTCHURCH/302/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	160	0	0	0	0	160	640	0	0	0	0	1280	320	0	0	0	0	0	0	160	0	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRISTCHURCH/340/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	160	0	0	0	0	80	640	0	0	0	0	640	320	0	0	0	0	0	0	160	0	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DARWIN/4/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	320	0	0	0	0	160	1280	0	0	0	0	0	320	0	0	0	0	0	0	320	0	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUNEDIN/24/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	160	0	0	0	0	80	1280	0	0	0	0	2560	320	0	0	0	0	0	0	0	640	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUNEDIN/40/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	80	0	0	0	0	40	320	0	0	0	0	640	80	0	0	0	0	0	0	0	80	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIMOGES/2402/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	80	0	0	0	0	40	160	0	0	0	0	320	80	0	0	0	0	0	0	0	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PERTH/103/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	80	0	0	0	0	80	2560	0	0	0	0	2560	160	0	0	0	0	0	0	0	320	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PERTH/131/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<40 	<40 	0	0	0	0	<40 	0	0	0	0	0	0	320	0	0	0	0	0	0	0	640	2560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PERTH/82/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	160	0	0	0	0	80	320	0	0	0	0	640	160	0	0	0	0	0	0	0	160	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHILIPPINES/1116/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	<40 	0	0	0	0	<40 	640	0	0	0	0	2560	160	0	0	0	0	0	0	0	320	2560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHILIPPINES/825/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	54	0	0	0	0	<40 	226	0	0	0	0	768	112	0	0	0	0	0	0	160	158	471	0	0	0	0	0	0	0	501	0	489	0	0	549	0	0	0	0	0	147	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYDNEY/101/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	80	0	0	0	0	40	640	0	0	0	0	320	160	0	0	0	0	0	0	0	320	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYDNEY/54/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	0	0	0	0	80	640	0	0	0	0	1280	80	0	0	0	0	0	0	0	160	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYDNEY/95/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	160	0	0	0	0	80	1280	0	0	0	0	1280	320	0	0	0	0	0	0	0	640	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEXAS/140/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	160	0	0	0	0	40	1280	0	0	0	0	1280	160	0	0	0	0	0	0	0	320	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VICTORIA/560/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	320	0	0	0	0	40	2560	0	0	0	0	0	320	0	0	0	0	0	0	320	0	2560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VICTORIA/562/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	320	0	0	0	0	160	1280	0	0	0	0	2560	320	0	0	0	0	0	0	640	0	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAIKATO/120/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	160	0	0	0	0	80	640	0	0	0	0	640	160	0	0	0	0	0	0	0	320	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAIKATO/148/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	80	0	0	0	0	40	320	0	0	0	0	320	80	0	0	0	0	0	0	0	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAIKATO/150/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	160	0	0	0	0	160	0	0	0	0	0	1280	320	0	0	0	0	0	0	0	320	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAIKATO/75/2003 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	160	0	0	0	0	80	640	0	0	0	0	640	160	0	0	0	0	0	0	0	320	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEW-YORK/55/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	652	160	480	560	0	0	919	745	576	0	391	0	629	0	2560	0	945	197	246	758	801	133	1187	446	288	325	132	995	0	0	0	0	274	176	669	873	496	426	640	170
CALIFORNIA/7/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	805	185	832	520	800	480	1028	472	446	0	368	320	533	640	1706	2560	640	202	0	582	710	120	517	277	256	280	145	756	160	80	640	160	235	163	0	0	0	0	0	121
MISSISSIPPI/5/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	800	480	480	0	480	0	480	0	0	0	0	135	120	0	0	0	640	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VICTORIA/500/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<40 	60	0	0	0	0	40	150	0	0	0	0	1280	80	0	0	80	0	0	0	0	0	0	292	56	272	190	280	320	387	435	347	980	363	332	605	640	2560	2560	640	80	158	560	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WISCONSIN/19/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	260	1005	576	2560	0	640	320	320	0	320	0	640	0	2560	0	320	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WELLINGTON/1/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<40 	157	0	0	0	0	<40 	360	0	0	0	0	0	0	0	0	0	0	0	0	80	186	468	518	104	560	380	853	960	836	902	536	1206	0	0	1374	384	640	768	0	80	165	678	759	0	713	283	133	366	0	0	0	0	0	0	224	86	0	0	0	0	0	174
TEXAS/6/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	522	175	520	380	533	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TENNESSEE/6/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	288	153	273	260	426	720	160	80	80	0	160	0	320	0	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NORTH-DAKOTA/1/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	520	280	680	1040	1440	640	426	160	320	0	133	0	426	160	320	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEW-YORK/40/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<40 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	80	80	80	0	0	40	40	40	0	40	40	80	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASHINGTON/1/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	320	1066	426	1280	0	1280	640	640	0	320	640	1280	0	2560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANADA/578/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	320	800	640	2240	1280	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FINLAND/486/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	160	320	320	1280	0	1280	640	320	0	80	0	640	0	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEPAL/1646/2004 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<40 	0	0	0	0	0	80	0	0	0	0	0	0	0	0	346	0	0	0	0	0	320	800	266	746	800	1920	1120	0	320	0	640	0	0	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
